[Mon, 18 Apr 2016 02:46:11 EDT] Running ScrapeBookChaptersProcess with Session Name Harry Potter, English, 5 years old, >10 reviews, >2 reviews/chapter, April 17, 2016 - fix 2
[Mon, 18 Apr 2016 03:16:16 EDT] Scraping book: 11733942; Chapters: 20; Wait times: 2186, 4135, 2259, 1972, 1396, 2514, 76, 1946, 1665, 2792, 4188, 4933, 1969, 1782, 1335, 2767, 4162, 2169, 3115, 4179, 
[Mon, 18 Apr 2016 03:16:21 EDT] Scraping book: 11733752; Chapters: 1; Wait times: 3572, 
[Mon, 18 Apr 2016 03:16:24 EDT] Scraping book: 11733585; Chapters: 1; Wait times: 2518, 
[Mon, 18 Apr 2016 03:17:12 EDT] Scraping book: 11732934; Chapters: 14; Wait times: 2506, 4339, 3129, 2758, 2674, 3407, 2597, 3675, 2504, 653, 1869, 3507, 3121, 3415, 
[Mon, 18 Apr 2016 03:17:16 EDT] Scraping book: 11732835; Chapters: 1; Wait times: 3257, 
[Mon, 18 Apr 2016 03:17:19 EDT] Scraping book: 11732735; Chapters: 1; Wait times: 1937, 
[Mon, 18 Apr 2016 03:17:22 EDT] Scraping book: 11732722; Chapters: 1; Wait times: 3214, 
[Mon, 18 Apr 2016 03:17:26 EDT] Scraping book: 11732680; Chapters: 1; Wait times: 3793, 
[Mon, 18 Apr 2016 03:17:28 EDT] Scraping book: 11732523; Chapters: 1; Wait times: 1540, 
[Mon, 18 Apr 2016 03:17:33 EDT] Scraping book: 11732106; Chapters: 1; Wait times: 4162, 
[Mon, 18 Apr 2016 03:17:52 EDT] Scraping book: 11731717; Chapters: 6; Wait times: 1856, 3287, 2484, 1084, 2579, 4851, 
[Mon, 18 Apr 2016 03:18:08 EDT] Scraping book: 11730825; Chapters: 5; Wait times: 1509, 2945, 4062, 3042, 1888, 
[Mon, 18 Apr 2016 03:18:24 EDT] Scraping book: 11730820; Chapters: 6; Wait times: 2407, 3235, 1254, 3077, 440, 2295, 
[Mon, 18 Apr 2016 03:18:48 EDT] Scraping book: 11730816; Chapters: 7; Wait times: 1828, 3757, 3520, 2195, 1309, 4057, 4338, 
[Mon, 18 Apr 2016 03:18:51 EDT] Scraping book: 11730405; Chapters: 1; Wait times: 2313, 
